episode,total_reward,avg_loss,steps,epsilon,moving_avg_reward,x_pos,flag_get,coins,status,time_elapsed
1,236.0,3.26818,68,0.496611,236.0,307,0,0,small,5.8
2,249.0,9.879505,30,0.495124,242.5,312,0,1,small,8.1
3,613.0,14.187077,91,0.490638,366.0,688,0,1,small,15.5
4,565.0,5.226483,250,0.478524,415.75,672,0,0,small,36.1
5,986.0,3.902994,425,0.458612,529.8,1125,0,0,small,70.0
6,608.0,3.731381,145,0.452009,542.83,695,0,1,small,81.9
7,715.0,3.599867,472,0.431169,567.43,867,0,0,small,119.5
8,615.0,3.05556,96,0.42705,573.38,691,0,0,small,126.1
9,1321.0,3.4388,196,0.418761,656.44,1416,0,0,small,138.9
10,637.0,3.653833,153,0.412402,654.5,722,0,0,small,149.1
11,809.0,3.933691,170,0.40545,711.8,898,0,0,small,160.9
12,231.0,3.872866,42,0.403751,710.0,296,0,1,small,163.7
13,234.0,4.098693,40,0.402139,672.1,298,0,1,small,166.4
14,209.0,4.043948,48,0.400213,636.5,275,0,0,small,169.6
15,1286.0,3.89896,267,0.389668,666.5,1396,0,0,small,188.4
16,151.0,3.811793,72,0.386873,620.8,222,0,0,small,193.6
17,1042.0,3.97823,192,0.379515,653.5,1137,0,0,small,206.2
18,777.0,3.893951,272,0.369331,669.7,885,0,0,small,224.9
19,707.0,3.902411,336,0.357127,608.3,827,0,0,small,249.1
20,242.0,3.557919,34,0.355915,568.8,305,0,0,small,251.4
21,748.0,3.827854,154,0.350475,562.7,836,0,0,small,274.4
22,233.0,4.027312,38,0.349146,562.9,297,0,0,small,276.8
23,242.0,3.947243,48,0.347474,563.7,308,0,0,small,280.4
24,242.0,4.047506,32,0.346364,567.0,305,0,0,small,282.8
25,232.0,3.829884,35,0.345154,461.6,295,0,0,small,285.4
26,234.0,4.630069,52,0.343363,469.9,301,0,0,small,288.8
27,1044.0,4.408017,190,0.336901,470.1,1138,0,0,small,302.3
28,235.0,4.539544,41,0.335522,415.9,300,0,0,small,305.3
29,778.0,4.489817,328,0.324695,423.0,898,0,0,small,327.5
30,236.0,4.682953,37,0.323496,422.4,300,0,0,small,329.9
31,737.0,4.513994,192,0.317344,421.3,833,0,1,small,342.0
32,1012.0,4.558672,357,0.306214,499.2,1139,0,0,small,367.9
33,614.0,4.795969,93,0.303379,536.4,690,0,0,small,374.7
34,597.0,4.657096,89,0.300691,571.9,670,0,0,small,381.3
35,577.0,4.456546,384,0.289363,606.4,710,0,0,small,407.6
36,236.0,4.314316,40,0.288207,606.6,300,0,0,small,410.5
37,235.0,4.151064,39,0.287086,525.7,299,0,1,small,413.6
38,597.0,4.318736,114,0.283831,561.9,677,0,0,small,421.5
39,236.0,4.475724,38,0.282755,507.7,300,0,0,small,424.3
40,244.0,5.109398,31,0.281879,508.5,308,0,0,small,426.7
41,250.0,4.200484,31,0.281007,459.8,314,0,0,small,439.1
42,246.0,4.668742,32,0.280109,383.2,310,0,1,small,441.7
43,627.0,4.74079,105,0.277183,384.5,704,0,0,small,449.1
44,783.0,4.825358,302,0.268937,403.1,898,0,0,small,470.5
45,1011.0,4.355167,348,0.259738,446.5,1137,0,0,small,494.5
46,231.0,4.570359,36,0.258805,446.0,293,0,0,small,497.0
47,234.0,4.079827,39,0.257798,445.9,298,0,0,small,499.6
48,604.0,4.557262,106,0.255079,446.6,682,0,0,small,506.8
49,751.0,4.960189,196,0.250128,498.1,846,0,0,small,520.5
50,587.0,4.581956,97,0.247714,532.4,663,0,0,small,527.2
51,636.0,4.88969,155,0.243903,571.0,721,0,1,small,537.8
52,1382.0,4.461849,389,0.234597,684.6,1517,0,0,small,565.4
53,249.0,4.245124,27,0.233965,646.8,311,0,1,small,567.1
54,1045.0,4.841893,176,0.229883,673.0,1137,0,0,small,579.0
55,180.0,4.418584,59,0.22853,589.9,246,0,1,small,582.8
56,247.0,4.790039,33,0.227777,591.5,310,0,0,small,584.9
57,1410.0,4.86197,268,0.221754,709.1,1519,0,0,small,603.3
58,1009.0,4.810131,312,0.214941,749.6,1127,0,0,small,625.8
59,240.0,4.735523,36,0.214169,698.5,304,0,1,small,628.2
60,247.0,5.067377,33,0.213463,664.5,310,0,0,small,630.5
61,647.0,4.63341,103,0.211276,665.6,722,0,0,small,1393.1
62,653.0,5.413527,72,0.20976,592.7,722,0,0,small,1397.6
63,247.0,4.668993,33,0.209069,592.5,310,0,1,small,1399.9
64,1029.0,5.092031,218,0.20456,590.9,1127,0,0,small,1413.8
65,237.0,4.834834,36,0.203825,596.6,302,0,0,small,1416.5
66,240.0,4.962618,29,0.203235,595.9,303,0,0,small,1418.1
67,609.0,4.673796,85,0.201515,515.8,682,0,0,small,1424.4
68,1843.0,5.164909,237,0.196795,599.2,1947,0,1,small,1440.6
69,1012.0,5.185599,305,0.190883,676.4,1128,0,0,small,1462.8
70,245.0,5.499301,32,0.190273,676.2,309,0,1,small,1465.0
71,241.0,5.899691,32,0.189665,635.6,304,0,0,small,1467.3
72,251.0,6.025672,34,0.189021,595.4,315,0,0,small,1470.0
73,608.0,5.349221,162,0.185984,631.5,698,0,0,small,1481.6
74,247.0,5.872476,30,0.185426,553.3,311,0,0,small,1483.6
75,618.0,5.27485,111,0.18338,591.4,698,0,0,small,1490.9
76,238.0,5.273569,31,0.182812,591.2,302,0,0,small,1493.4
77,632.0,5.143228,83,0.181301,593.5,704,0,0,small,1499.4
78,709.0,5.452757,158,0.178459,480.1,797,0,0,small,1511.2
79,252.0,5.548879,29,0.177942,404.1,315,0,0,small,1513.3
80,628.0,5.635023,91,0.17633,442.4,703,0,0,small,1519.9
81,231.0,5.740296,39,0.175643,441.4,295,0,0,small,1532.4
82,243.0,5.671413,30,0.175117,440.6,305,0,0,small,1534.6
83,241.0,6.554802,32,0.174558,403.9,304,0,0,small,1536.7
84,622.0,5.81858,63,0.173461,441.4,690,0,0,small,1541.2
85,1132.0,5.74535,236,0.169415,492.8,1235,0,0,small,1558.5
86,241.0,5.598038,34,0.16884,493.1,305,0,1,small,1560.9
87,229.0,5.291288,37,0.168217,452.8,293,0,0,small,1563.6
88,242.0,5.020465,30,0.167713,406.1,306,0,0,small,1566.1
89,242.0,6.035383,36,0.16711,405.1,306,0,0,small,1568.5
90,1033.0,5.467176,192,0.163932,445.6,1126,0,1,small,1581.9
91,720.0,5.530082,106,0.162204,494.5,798,0,1,small,1588.7
92,615.0,5.973721,85,0.160831,531.7,688,0,0,small,1594.9
93,1031.0,5.741728,212,0.157457,610.7,1128,0,0,small,1608.6
94,796.0,5.628547,153,0.155066,628.1,883,0,0,small,1619.5
